Species,Lineage,Sublineage,ST,Clonal_group,Genetic_cluster
C. diphtheriae,0_0,SL426,426,ClG426,GC69
C. diphtheriae,0_0,SL688,688,ClG688,GC220
C. belfantii,2_0,SL226,689,ClG689,GC108
C. diphtheriae,0_0,SL128,128,ClG128,GC54
C. diphtheriae,0_0,SL681,681,ClG681,GC88
C. belfantii,2_0,SL208,163,ClG10258,GC892
C. diphtheriae,0_0,SL419,419,ClG419,GC118
C. diphtheriae,0_0,SL128,128,ClG128,GC54
C. diphtheriae,0_0,SL395,395,ClG10195,GC278
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. belfantii,2_0,SL691,691,ClG691,GC581
C. diphtheriae,0_0,SL774,128,ClG10177,GC56
C. diphtheriae,0_5,SL100,100,ClG10092,GC484
C. diphtheriae,0_4,SL692,692,ClG692,GC582
C. diphtheriae,0_0,SL50,388,ClG388,GC106
C. rouxii,1_0,SL537,694,ClG694,GC212
C. rouxii,1_0,SL537,694,ClG694,GC212
C. diphtheriae,0_0,SL681,681,ClG10154,GC720
C. diphtheriae,0_0,SL688,688,ClG688,GC220
C. diphtheriae,0_0,SL377,377,ClG10117,GC25
C. diphtheriae,0_0,SL441,695,ClG695,GC584
C. belfantii,2_0,SL226,689,ClG689,GC108
C. diphtheriae,0_0,SL377,377,ClG10117,GC25
C. diphtheriae,0_0,SL91,87,ClG87,GC181
C. belfantii,2_0,SL10026,106,ClG10009,GC153
C. diphtheriae,0_0,SL183,183,ClG10173,GC122
C. diphtheriae,0_0,SL579,579,ClG579,GC773
C. diphtheriae,0_0,SL796,634,ClG634,GC103
C. diphtheriae,0_0,SL652,441,ClG10215,GC507
C. belfantii,2_0,SL92,715,ClG715,GC590
C. diphtheriae,0_0,SL576,576,ClG576,GC317
C. diphtheriae,0_0,SL5,5,ClG5,GC23
C. diphtheriae,0_0,SL490,490,ClG490,GC151
C. diphtheriae,0_0,SL297,103,ClG103,GC687
C. diphtheriae,0_0,SL530,530,ClG530,GC101
C. rouxii,1_0,SL537,713,ClG10118,GC700
C. belfantii,2_0,SL160,169,ClG169,GC1003
C. belfantii,2_0,SL691,691,ClG10277,GC512
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL228,228,ClG10213,GC428
C. rouxii,1_0,SL537,714,ClG714,GC589
C. diphtheriae,0_0,SL91,716,ClG238,GC80
C. diphtheriae,0_0,SL395,395,ClG10225,GC174
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL426,426,ClG426,GC69
C. diphtheriae,0_0,SL391,391,ClG391,GC247
C. belfantii,2_0,SL226,689,ClG10031,GC865
C. diphtheriae,0_0,SL183,183,ClG10173,GC122
C. diphtheriae,0_0,SL796,634,ClG634,GC103
C. diphtheriae,0_0,SL723,723,ClG723,GC595
C. diphtheriae,0_0,SL426,426,ClG426,GC69
C. diphtheriae,0_0,SL726,726,ClG726,GC598
C. diphtheriae,0_0,SL91,87,ClG87,GC184
C. diphtheriae,0_1,SL88,88,ClG10093,GC736
C. diphtheriae,0_0,SL109,109,ClG109,GC77
C. diphtheriae,0_0,SL102,102,ClG102,GC47
C. diphtheriae,0_0,SL419,419,ClG419,GC118
C. belfantii,2_0,SL178,178,ClG178,GC868
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL232,232,ClG232,GC68
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL708,708,ClG10248,GC977
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL268,758,ClG758,GC574
C. rouxii,1_0,SL537,537,ClG537,GC67
C. diphtheriae,0_0,SL487,620,ClG620,GC223
C. diphtheriae,0_0,SL32,32,ClG32,GC28
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC791
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL441,739,ClG739,GC564
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL76,76,ClG76,GC8
C. diphtheriae,0_0,SL530,530,ClG530,GC101
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_0,SL228,228,ClG228,GC31
C. diphtheriae,0_0,SL232,232,ClG232,GC68
C. diphtheriae,0_0,SL239,239,ClG10257,GC811
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_0,SL232,232,ClG232,GC68
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_0,SL228,228,ClG228,GC31
C. diphtheriae,0_0,SL228,228,ClG228,GC786
C. diphtheriae,0_0,SL228,228,ClG228,GC164
C. diphtheriae,0_0,SL147,147,ClG147,GC104
C. diphtheriae,0_0,SL228,228,ClG228,GC31
C. diphtheriae,0_0,SL232,397,ClG397,GC248
C. diphtheriae,0_0,SL147,147,ClG147,GC104
C. diphtheriae,0_0,SL147,147,ClG147,GC104
C. diphtheriae,0_0,SL228,228,ClG228,GC973
C. diphtheriae,0_0,SL147,147,ClG147,GC104
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_0,SL232,397,ClG397,GC248
C. diphtheriae,0_14,SL533,533,ClG533,GC58
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_14,SL524,524,ClG524,GC52
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_0,SL228,228,ClG228,GC347
C. diphtheriae,0_14,SL533,533,ClG533,GC58
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_14,SL533,533,ClG533,GC58
C. diphtheriae,0_14,SL524,524,ClG524,GC52
C. diphtheriae,0_0,SL228,228,ClG228,GC31
C. diphtheriae,0_0,SL416,416,ClG416,GC14
C. diphtheriae,0_3,SL39,759,ClG39,GC16
C. diphtheriae,0_14,SL524,524,ClG524,GC52
C. diphtheriae,0_0,SL228,228,ClG228,GC906
C. belfantii,2_0,SL226,761,ClG10160,GC803
C. rouxii,1_0,SL537,762,ClG10135,GC730
C. diphtheriae,0_0,SL490,490,ClG490,GC151
C. diphtheriae,0_0,SL205,205,ClG205,GC62
C. belfantii,2_0,SL226,763,ClG763,GC203
C. diphtheriae,0_1,SL88,88,ClG88,GC36
C. diphtheriae,0_0,SL764,764,ClG764,GC146
C. diphtheriae,0_0,SL419,419,ClG419,GC118
C. belfantii,2_0,SL226,216,ClG216,GC861
C. diphtheriae,0_0,SL580,580,ClG580,GC131
C. belfantii,2_0,SL92,92,ClG10201,GC709
C. diphtheriae,0_23,SL765,765,ClG765,GC614
C. diphtheriae,0_14,SL524,524,ClG524,GC52
C. belfantii,2_0,SL767,767,ClG767,GC628
C. diphtheriae,0_23,SL528,768,ClG768,GC629
C. diphtheriae,0_0,SL377,377,ClG10117,GC25
C. diphtheriae,0_0,SL411,411,ClG10125,GC726
C. diphtheriae,0_23,SL59,669,ClG669,GC819
C. diphtheriae,0_0,SL645,645,ClG645,GC117
C. diphtheriae,0_0,SL134,495,ClG495,GC152
C. diphtheriae,0_0,SL5,5,ClG5,GC23
C. diphtheriae,0_0,SL574,698,ClG698,GC537
C. belfantii,2_0,SL226,689,ClG689,GC108
C. diphtheriae,0_0,SL67,67,ClG67,GC81
C. diphtheriae,0_0,SL128,128,ClG128,GC54
C. diphtheriae,0_0,SL769,769,ClG769,GC630
C. belfantii,2_0,SL187,187,ClG10075,GC616
C. diphtheriae,0_0,SL764,764,ClG764,GC146
C. belfantii,2_0,SL10028,160,ClG10151,GC993
C. diphtheriae,0_0,SL268,770,ClG770,GC631
C. belfantii,2_0,SL92,42,ClG42,GC255
C. belfantii,2_0,SL208,208,ClG10097,GC914
C. belfantii,2_0,SL226,689,ClG10026,GC667
C. belfantii,2_0,SL10008,163,ClG10234,GC991
C. belfantii,2_0,SL10025,106,ClG10199,GC907
C. diphtheriae,0_0,SL772,772,ClG772,GC633
C. diphtheriae,0_0,SL228,228,ClG10213,GC1024
C. diphtheriae,0_1,SL88,88,ClG88,GC36
C. diphtheriae,0_0,SL774,774,ClG774,GC634
C. diphtheriae,0_0,SL580,775,ClG775,GC142
C. diphtheriae,0_0,SL542,542,ClG542,GC960
C. diphtheriae,0_0,SL580,775,ClG775,GC142
C. diphtheriae,0_0,SL128,128,ClG128,GC54
C. rouxii,1_0,SL537,537,ClG10049,GC785
C. diphtheriae,0_1,SL88,88,ClG88,GC36
C. diphtheriae,0_0,SL645,645,ClG645,GC117
C. diphtheriae,0_0,SL205,771,ClG771,GC632
C. diphtheriae,0_0,SL774,128,ClG10177,GC56
C. rouxii,1_0,SL537,181,ClG10081,GC1016
C. diphtheriae,0_0,SL244,244,ClG244,GC228
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_0,SL96,257,ClG257,GC887
C. diphtheriae,0_0,SL439,439,ClG439,GC40
C. diphtheriae,0_0,SL657,657,ClG657,GC345
C. diphtheriae,0_0,SL3,658,ClG658,GC344
C. belfantii,2_0,SL353,353,ClG10077,GC189
C. belfantii,2_0,SL353,353,ClG10077,GC189
C. belfantii,2_0,SL409,409,ClG409,GC409
C. belfantii,2_0,SL659,659,ClG659,GC343
C. diphtheriae,0_0,SL652,652,ClG652,GC360
C. belfantii,2_0,SL92,81,ClG10237,GC764
C. belfantii,2_0,SL660,660,ClG660,GC342
C. diphtheriae,0_0,SL295,295,ClG295,GC143
C. diphtheriae,0_0,SL653,653,ClG653,GC361
C. diphtheriae,0_0,SL32,32,ClG32,GC28
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_0,SL301,469,ClG469,GC93
C. diphtheriae,0_0,SL656,656,ClG656,GC364
C. diphtheriae,0_0,SL439,439,ClG439,GC40
C. diphtheriae,0_0,SL5,5,ClG10180,GC423
C. diphtheriae,0_0,SL417,417,ClG417,GC254
C. diphtheriae,0_0,SL32,32,ClG32,GC28
C. belfantii,2_0,SL660,663,ClG663,GC323
C. belfantii,2_0,SL162,226,ClG10066,GC860
C. diphtheriae,0_0,SL308,308,ClG308,GC236
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_0,SL301,469,ClG469,GC93
C. diphtheriae,0_0,SL96,317,ClG10141,GC635
C. diphtheriae,0_0,SL439,439,ClG439,GC40
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_0,SL625,662,ClG625,GC33
C. diphtheriae,0_0,SL244,244,ClG244,GC228
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_5,SL100,100,ClG100,GC382
C. diphtheriae,0_0,SL123,319,ClG319,GC911
C. diphtheriae,0_0,SL140,140,ClG10105,GC814
C. diphtheriae,0_0,SL439,439,ClG439,GC40
C. diphtheriae,0_2,SL130,130,ClG130,GC34
C. belfantii,2_0,SL10015,170,ClG10244,GC908
C. belfantii,2_0,SL168,92,ClG10149,GC793
C. belfantii,2_0,SL92,81,ClG10168,GC481
C. diphtheriae,0_0,SL140,655,ClG655,GC363
C. diphtheriae,0_0,SL417,417,ClG417,GC254
C. diphtheriae,0_0,SL91,623,ClG623,GC352
C. belfantii,2_0,SL10031,92,ClG10113,GC406
C. diphtheriae,0_0,SL122,661,ClG661,GC322
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_0,SL123,654,ClG10209,GC669
C. diphtheriae,0_0,SL246,246,ClG246,GC858
C. belfantii,2_0,SL353,353,ClG353,GC190
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. belfantii,2_0,SL353,353,ClG353,GC190
C. diphtheriae,0_0,SL503,503,ClG503,GC194
C. diphtheriae,0_0,SL625,625,ClG625,GC33
C. belfantii,2_0,SL162,65,ClG65,GC359
C. diphtheriae,0_0,SL259,259,ClG259,GC66
C. diphtheriae,0_0,SL26,26,ClG10187,GC663
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_22,SL38,38,ClG38,GC242
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_22,SL38,38,ClG38,GC692
C. diphtheriae,0_22,SL38,38,ClG38,GC895
C. diphtheriae,0_22,SL38,38,ClG38,GC242
C. diphtheriae,0_0,SL53,53,ClG53,GC304
C. diphtheriae,0_0,SL212,212,ClG212,GC59
C. diphtheriae,0_0,SL40,40,ClG40,GC401
C. diphtheriae,0_0,SL212,212,ClG212,GC59
C. diphtheriae,0_0,SL445,445,ClG445,GC41
C. diphtheriae,0_0,SL445,445,ClG445,GC41
C. diphtheriae,0_0,SL445,868,ClG445,GC41
C. diphtheriae,0_0,SL445,445,ClG445,GC41
C. diphtheriae,0_0,SL445,445,ClG445,GC41
C. diphtheriae,0_0,SL445,445,ClG445,GC41
C. rouxii,1_1,SL74,74,ClG74,GC87
C. rouxii,1_1,SL74,74,ClG74,GC87
C. diphtheriae,0_0,SL30,30,ClG30,GC926
C. diphtheriae,0_0,SL40,40,ClG40,GC60
C. diphtheriae,0_0,SL50,50,ClG50,GC11
C. diphtheriae,0_0,SL40,40,ClG40,GC60
C. diphtheriae,0_0,SL445,445,ClG445,GC41
C. diphtheriae,0_0,SL445,445,ClG445,GC41
C. diphtheriae,0_0,SL445,445,ClG445,GC41
C. diphtheriae,0_0,SL445,445,ClG445,GC41
C. rouxii,1_1,SL74,74,ClG74,GC87
C. diphtheriae,0_13,SL31,31,ClG31,GC930
C. rouxii,1_1,SL74,74,ClG74,GC87
C. diphtheriae,0_0,SL32,32,ClG32,GC183
C. diphtheriae,0_0,SL32,32,ClG32,GC28
C. belfantii,2_0,SL483,483,ClG483,GC415
C. diphtheriae,0_0,SL377,377,ClG10117,GC25
C. diphtheriae,0_0,SL458,458,ClG10115,GC701
C. belfantii,2_0,SL92,42,ClG10020,GC429
C. diphtheriae,0_0,SL32,32,ClG32,GC28
C. belfantii,2_0,SL10006,92,ClG10179,GC402
C. diphtheriae,0_0,SL134,484,ClG484,GC684
C. diphtheriae,0_0,SL5,5,ClG5,GC23
C. diphtheriae,0_0,SL96,96,ClG96,GC532
C. diphtheriae,0_0,SL511,511,ClG511,GC141
C. diphtheriae,0_0,SL212,212,ClG212,GC59
C. diphtheriae,0_0,SL32,32,ClG32,GC840
C. diphtheriae,0_0,SL422,422,ClG422,GC376
C. diphtheriae,0_0,SL297,297,ClG297,GC280
C. diphtheriae,0_0,SL377,377,ClG377,GC679
C. rouxii,1_0,SL537,537,ClG10049,GC424
C. diphtheriae,0_0,SL297,297,ClG297,GC280
C. belfantii,2_0,SL81,81,ClG10275,GC662
C. belfantii,2_0,SL10021,163,ClG10182,GC487
C. diphtheriae,0_0,SL704,704,ClG704,GC586
C. belfantii,2_0,SL23,23,ClG23,GC849
C. belfantii,2_0,SL10027,42,ClG10052,GC772
C. diphtheriae,0_0,SL542,542,ClG10216,GC683
C. belfantii,2_0,SL482,482,ClG482,GC436
C. belfantii,2_0,SL10016,163,ClG10091,GC386
C. diphtheriae,0_0,SL123,319,ClG10138,GC399
C. belfantii,2_0,SL92,106,ClG10025,GC864
C. belfantii,2_0,SL482,670,ClG670,GC330
C. diphtheriae,0_0,SL40,389,ClG389,GC244
C. diphtheriae,0_0,SL134,134,ClG10246,GC966
C. belfantii,2_0,SL10022,106,ClG10235,GC477
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL405,405,ClG405,GC125
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL405,405,ClG405,GC125
C. diphtheriae,0_0,SL405,405,ClG405,GC125
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL301,301,ClG301,GC111
C. diphtheriae,0_0,SL405,405,ClG405,GC76
C. diphtheriae,0_0,SL377,377,ClG377,GC672
C. diphtheriae,0_0,SL576,576,ClG10156,GC648
C. diphtheriae,0_0,SL377,377,ClG10079,GC261
C. diphtheriae,0_0,SL405,405,ClG405,GC76
C. diphtheriae,0_0,SL301,301,ClG301,GC831
C. diphtheriae,0_0,SL377,377,ClG377,GC9
C. diphtheriae,0_0,SL301,301,ClG301,GC111
C. diphtheriae,0_0,SL301,301,ClG10019,GC784
C. diphtheriae,0_0,SL377,377,ClG10079,GC261
C. diphtheriae,0_0,SL308,467,ClG467,GC452
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL301,301,ClG301,GC111
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL301,301,ClG301,GC319
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL466,466,ClG466,GC30
C. diphtheriae,0_0,SL156,156,ClG10169,GC877
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_0,SL40,153,ClG153,GC725
C. belfantii,2_0,SL784,784,ClG784,GC639
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_0,SL197,197,ClG197,GC879
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. belfantii,2_0,SL10030,167,ClG167,GC161
C. diphtheriae,0_0,SL156,196,ClG196,GC878
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_3,SL39,39,ClG10048,GC172
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_3,SL39,39,ClG10048,GC172
C. diphtheriae,0_2,SL130,130,ClG130,GC19
C. diphtheriae,0_0,SL205,205,ClG205,GC175
C. diphtheriae,0_0,SL67,67,ClG67,GC81
C. diphtheriae,0_1,SL356,778,ClG778,GC636
C. diphtheriae,0_0,SL779,779,ClG779,GC637
C. rouxii,1_0,SL537,780,ClG780,GC638
C. diphtheriae,0_0,SL579,635,ClG635,GC356
C. belfantii,2_0,SL482,81,ClG10082,GC453
C. diphtheriae,0_0,SL67,67,ClG67,GC81
C. diphtheriae,0_0,SL67,67,ClG67,GC81
C. diphtheriae,0_0,SL536,536,ClG10111,GC979
C. diphtheriae,0_0,SL5,5,ClG5,GC23
C. diphtheriae,0_23,SL59,59,ClG59,GC287
C. diphtheriae,0_0,SL536,536,ClG536,GC39
C. diphtheriae,0_0,SL109,783,ClG109,GC77
C. diphtheriae,0_0,SL205,205,ClG205,GC62
C. diphtheriae,0_0,SL102,102,ClG102,GC47
C. diphtheriae,0_0,SL228,228,ClG228,GC31
C. diphtheriae,0_0,SL228,228,ClG228,GC31
C. diphtheriae,0_0,SL228,228,ClG228,GC31
C. diphtheriae,0_0,SL228,228,ClG228,GC95
C. diphtheriae,0_0,SL764,764,ClG764,GC146
C. diphtheriae,0_0,SL675,675,ClG675,GC414
C. diphtheriae,0_0,SL205,205,ClG205,GC175
C. diphtheriae,0_0,SL102,102,ClG102,GC272
C. diphtheriae,0_0,SL102,102,ClG102,GC812
C. diphtheriae,0_0,SL536,536,ClG536,GC39
C. belfantii,2_0,SL10014,42,ClG10172,GC475
C. belfantii,2_0,SL294,294,ClG294,GC235
C. belfantii,2_0,SL294,294,ClG294,GC235
C. diphtheriae,0_0,SL355,355,ClG10247,GC894
C. diphtheriae,0_0,SL503,785,ClG785,GC206
C. diphtheriae,0_0,SL426,426,ClG426,GC69
C. diphtheriae,0_0,SL536,536,ClG536,GC39
C. diphtheriae,0_0,SL536,536,ClG536,GC39
C. rouxii,1_0,SL537,537,ClG10049,GC829
C. diphtheriae,0_0,SL102,102,ClG102,GC272
C. belfantii,2_0,SL226,786,ClG786,GC640
C. diphtheriae,0_0,SL205,205,ClG10198,GC51
C. rouxii,1_0,SL537,537,ClG537,GC817
C. diphtheriae,0_0,SL536,536,ClG536,GC39
C. diphtheriae,0_0,SL432,834,ClG834,GC553
C. diphtheriae,0_0,SL377,377,ClG10117,GC25
C. diphtheriae,0_0,SL128,128,ClG10008,GC743
C. diphtheriae,0_0,SL228,228,ClG228,GC95
C. diphtheriae,0_0,SL228,228,ClG228,GC435
C. belfantii,2_0,SL92,42,ClG42,GC255
C. diphtheriae,0_0,SL80,80,ClG80,GC91
C. diphtheriae,0_1,SL88,88,ClG88,GC36
C. diphtheriae,0_0,SL402,402,ClG10037,GC367
C. diphtheriae,0_0,SL796,796,ClG796,GC94
C. rouxii,1_0,SL537,537,ClG537,GC67
C. belfantii,2_0,SL92,42,ClG10227,GC810
C. belfantii,2_0,SL92,42,ClG10189,GC680
C. diphtheriae,0_0,SL536,536,ClG10111,GC168
C. diphtheriae,0_0,SL228,228,ClG10213,GC372
C. diphtheriae,0_0,SL797,797,ClG797,GC642
C. diphtheriae,0_0,SL796,796,ClG10076,GC89
C. diphtheriae,0_0,SL798,798,ClG798,GC643
C. diphtheriae,0_0,SL416,416,ClG10137,GC739
C. diphtheriae,0_0,SL205,205,ClG10198,GC51
C. diphtheriae,0_0,SL490,414,ClG10226,GC328
C. diphtheriae,0_0,SL410,410,ClG410,GC252
C. diphtheriae,0_1,SL88,88,ClG88,GC36
C. diphtheriae,0_1,SL88,88,ClG88,GC36
C. diphtheriae,0_0,SL134,134,ClG134,GC1020
C. diphtheriae,0_0,SL609,609,ClG609,GC222
C. diphtheriae,0_0,SL708,708,ClG708,GC211
C. diphtheriae,0_0,SL579,579,ClG579,GC132
C. diphtheriae,0_0,SL609,609,ClG609,GC222
C. diphtheriae,0_0,SL33,33,ClG33,GC109
C. diphtheriae,0_0,SL33,33,ClG33,GC109
C. diphtheriae,0_0,SL517,517,ClG517,GC64
C. diphtheriae,0_0,SL134,484,ClG484,GC199
C. diphtheriae,0_0,SL32,32,ClG32,GC28
C. diphtheriae,0_0,SL426,426,ClG426,GC69
C. diphtheriae,0_1,SL88,88,ClG10119,GC266
C. diphtheriae,0_0,SL102,102,ClG102,GC47
C. diphtheriae,0_0,SL205,205,ClG205,GC62
C. diphtheriae,0_0,SL205,205,ClG205,GC62
C. diphtheriae,0_0,SL707,707,ClG707,GC587
C. diphtheriae,0_0,SL32,32,ClG32,GC744
C. belfantii,2_0,SL761,761,ClG761,GC576
C. rouxii,1_0,SL537,537,ClG10049,GC675
C. diphtheriae,0_0,SL367,493,ClG493,GC420
C. diphtheriae,0_0,SL205,205,ClG10198,GC51
C. diphtheriae,0_0,SL796,796,ClG796,GC94
C. diphtheriae,0_1,SL88,88,ClG88,GC36
C. diphtheriae,0_0,SL228,803,ClG803,GC627
C. diphtheriae,0_23,SL804,804,ClG10024,GC703
C. diphtheriae,0_0,SL67,67,ClG10067,GC400
C. diphtheriae,0_0,SL128,128,ClG128,GC54
C. diphtheriae,0_0,SL128,128,ClG128,GC54
C. diphtheriae,0_0,SL377,377,ClG10117,GC25
C. diphtheriae,0_0,SL536,536,ClG536,GC39
C. diphtheriae,0_0,SL673,801,ClG801,GC646
C. belfantii,2_0,SL806,806,ClG806,GC625
C. belfantii,2_0,SL169,169,ClG10064,GC685
C. diphtheriae,0_23,SL624,624,ClG624,GC412
C. diphtheriae,0_0,SL807,807,ClG807,GC624
C. diphtheriae,0_0,SL808,808,ClG808,GC249
C. diphtheriae,0_0,SL808,808,ClG808,GC249
C. diphtheriae,0_0,SL295,809,ClG809,GC605
C. rouxii,1_0,SL537,810,ClG810,GC607
C. rouxii,1_0,SL537,537,ClG10049,GC656
C. diphtheriae,0_0,SL381,125,ClG10250,GC715
C. diphtheriae,0_0,SL452,452,ClG452,GC82
C. diphtheriae,0_6,SL10,10,ClG10,GC704
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
C. diphtheriae,0_0,SL378,378,ClG378,GC7
